date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:47	23801/23801	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Aug%202020%2009:45:48%20GMT	https://www.consolerepairlondon.co.uk/covid-19	C:/My%20Web%20Sites/console%20fix/www.consolerepairlondon.co.uk/covid-19.html	(from https://www.consolerepairlondon.co.uk/)
10:45:47	6552/6552	---M--	200	added ('OK')	image/jpeg	etag:%224e15-5a9c4f7dec808%22	https://www.consolerepairlondon.co.uk/images/services/service-01-370x250.jpg	C:/My%20Web%20Sites/console%20fix/www.consolerepairlondon.co.uk/images/services/service-01-370x250.jpg	(from https://www.consolerepairlondon.co.uk/)
10:45:47	6195/6195	---M--	200	added ('OK')	image/jpeg	etag:%225ea9-5a9c4f7debc50%22	https://www.consolerepairlondon.co.uk/images/services/service-02-370x250.jpg	C:/My%20Web%20Sites/console%20fix/www.consolerepairlondon.co.uk/images/services/service-02-370x250.jpg	(from https://www.consolerepairlondon.co.uk/)
10:45:47	7958/7958	---M--	200	added ('OK')	image/jpeg	etag:%226913-5a9c4f7df77d4%22	https://www.consolerepairlondon.co.uk/images/services/service-03-370x250.jpg	C:/My%20Web%20Sites/console%20fix/www.consolerepairlondon.co.uk/images/services/service-03-370x250.jpg	(from https://www.consolerepairlondon.co.uk/)
10:45:47	6841/6841	---M--	200	added ('OK')	image/jpeg	etag:%22519f-5a9c4f7df8774%22	https://www.consolerepairlondon.co.uk/images/services/service-04-370x250.jpg	C:/My%20Web%20Sites/console%20fix/www.consolerepairlondon.co.uk/images/services/service-04-370x250.jpg	(from https://www.consolerepairlondon.co.uk/)
10:45:48	4102/4102	---M--	200	added ('OK')	image/jpeg	etag:%2240dc-5a9c4f7e02b88%22	https://www.consolerepairlondon.co.uk/images/services/service-05-370x250.jpg	C:/My%20Web%20Sites/console%20fix/www.consolerepairlondon.co.uk/images/services/service-05-370x250.jpg	(from https://www.consolerepairlondon.co.uk/)
10:45:48	3831/3831	---M--	200	added ('OK')	image/jpeg	etag:%2239b9-5a9c4f7e023b8%22	https://www.consolerepairlondon.co.uk/images/services/service-06-370x250.jpg	C:/My%20Web%20Sites/console%20fix/www.consolerepairlondon.co.uk/images/services/service-06-370x250.jpg	(from https://www.consolerepairlondon.co.uk/)
10:45:48	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f3194c2-4d7%22	https://www.consolerepairlondon.co.uk/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/console%20fix/www.consolerepairlondon.co.uk/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.consolerepairlondon.co.uk/)
10:45:49	97737/97737	---M-Z	200	added ('OK')	application/javascript	etag:%221dc37899f984d453c1d3d8179829f041+gzip%22	http://platform.twitter.com/widgets.js	C:/My%20Web%20Sites/console%20fix/platform.twitter.com/widgets.js	(from https://www.consolerepairlondon.co.uk/)
10:45:49	2033/2033	---M--	200	added ('OK')	image/jpeg	etag:%222f13-5a9c4f7c1871f%22	https://www.consolerepairlondon.co.uk/images/review-star-140x140.jpg	C:/My%20Web%20Sites/console%20fix/www.consolerepairlondon.co.uk/images/review-star-140x140.jpg	(from https://www.consolerepairlondon.co.uk/)
